CODIGO	NOMBRE	PROV	CAN	PARR	SOSTENIM	NIVEL
1068	LUIS VARGAS TORRES # 51	9	1	04	1	1
1069	LUIS ALFREDO DAVILA	4	1	58	1	1
1071	SIN NOMBRE (LA CAMPIÑA)	10	1	04	1	1
1072	MARIA AUXILIADORA SALESIANAS	4	1	53	4	1
1073	ERNESTO ALBAN MOSQUERA	17	1	20	1	1
1074	CALIXTO MIRANDA	10	1	51	1	1
1075	12 DE NOVIEMBRE	4	2	01	1	1
1076	MERCEDES VITERI LAFRONTE DE HURAS	17	1	27	1	1
1077	DARIO EGAS GRIJALVA	4	2	51	1	1
1078	FILIBERTO LOPEZ AREVALO # 53	9	1	04	1	1
1079	MAGDALENA DAVALOS	17	1	27	1	1
1080	JAIME VALENCIA	4	2	52	1	1
1081	MERCEDES MORENO IRIGOYEN # 54	9	1	06	1	1
1083	ROSA BORJA ICAZA	17	1	24	1	1
1084	MARTHA BUCARAM DE ROLDOS	4	2	53	1	1
1085	ROBERTO ILLINGWORT ICAZA # 55	9	1	04	1	1
1086	PRIMERO DE MAYO	4	2	55	1	1
1087	EUGENIO ESPEJO	17	1	03	1	1
1088	MANUELITA SAENZ	4	2	55	1	1
1089	CORONEL LUCIANO CORAL # 56	9	1	04	1	1
1090	MANUELA GARAICOA	17	1	24	1	1
1091	18 DE NOVIEMBRE	4	2	53	1	1
1092	NICOLAS SEGOVIA # 60	9	1	04	1	1
1093	JIPIJAPA  # 62	9	1	06	1	1
1094	GABRIELA MISTRAL	17	1	24	1	1
1095	SOC.BEN.SRAS.LIBANESAS SIRIAS #76	9	1	04	1	1
1097	LUIS CLEMENTE DE LA VEGA	4	2	54	1	1
1098	EDUARDO FLORES TORRES # 78	9	1	04	1	1
1101	OTHON CASTILLO VELEZ # 79	9	1	04	1	1
1102	MANUEL MARIA SANCHEZ	17	1	22	1	1
1103	CARLOS EMILIO GRIJALVA	4	3	01	1	1
1105	ANITA DE ANDRADE MARIN	17	1	11	1	1
1107	GERMAN GRIJALVA	4	3	01	1	1
1110	ADOLFO H. SIMMONDS # 87	9	1	04	1	1
1111	JUAN TANCA MARENGO # 88	9	1	04	1	1
1112	ELISA ORTIZ DE AULESTIA	17	1	27	1	1
1113	JORGE GUZMAN ARGUELLO # 89	9	1	04	1	1
1115	FRANCISCO FALQUEZ AMPUERO # 90	9	1	14	1	1
1116	MERCEDES GONZALEZ DE MOSCOSO	17	1	05	1	1
1117	THOMAS JEFFERSON # 92	9	1	04	1	1
1118	ADELA PINARGOTE DE MURILLO	17	1	05	1	1
1119	UNIDAD EDUCATIVA DEL SUR (T.S.E.C.P.P)	17	1	19	1	1
1120	PABLO HANNIBAL VELA # 226	9	1	06	1	1
1122	ADAN RODRIGUEZ MOLINA # 100	9	1	04	1	1
1123	NICOLAS GUILLEN	17	1	25	1	1
1125	TRANSFIGURACION # 39	9	1	04	4	1
1126	ALVARO PEREZ INTRIAGO	17	1	05	1	1
1127	JUAN FEDERICO HERBART	17	1	15	1	1
1129	POLICIA NACIONAL	17	1	19	5	1
1130	JILGUERITOS # 94	9	1	04	5	1
1131	SANTA ANA # 120	9	1	06	5	1
1132	UNIDAD EDUCATIVA QUITO SUR	17	1	11	1	1
1133	RONDA AZUL  # 121	9	1	12	5	1
1134	LAS ORQUIDEAS	17	1	21	1	1
1136	FEDERICO GONZALEZ SUAREZ	17	1	13	1	1
1138	HIDALGO ALBUJA	17	1	13	5	1
1139	NUESTRA ESCUELA  #7	9	1	04	2	1
1140	FORREST LA ROSS YODER # 1	9	1	04	2	1
1141	MARIA MONTESSORI	17	1	15	1	1
1142	CAPULLITO DE AMOR # 178	9	1	04	5	1
1143	ANA PAREDES DE ALFARO	17	1	15	1	1
1144	COLEGIO MILITAR N°10 ABDON CALDERON	17	1	15	5	1
1145	BRASIL	4	3	02	1	1
1147	SOMOS AMIGOS TRABAJANDO	4	3	52	1	1
1149	EUCLIDES MUÑOZ	10	1	51	1	1
1150	TOBIAS TAMAYO GALARRAGA	4	3	52	1	1
1151	SAN FRANCISCO DE SALES	4	3	53	4	1
1152	LORGIO CARRASCO MERA	4	4	01	1	1
1153	SIN NOMBRE (CARPUELA)	10	1	51	1	1
1154	INTI RAYMI (SAN ROQUE)	17	1	15	1	1
1155	13 DE ABRIL	4	4	01	1	1
1156	CARITAS ALEGRES	4	4	01	1	1
1157	AURELIO ESPINOSA POLIT	17	1	15	1	1
1158	IMBABURA	4	4	51	1	1
1159	JAIME ROLDOS AGUILERA	10	1	54	1	1
1160	GENARO FIERRO	17	1	15	1	1
1161	JUAN LEON MERA	4	4	51	1	1
1163	PATRICIO ROMERO BARBERIS	17	1	19	1	1
1165	GRUPO DE C.#.36 YAGUACHI (INDIGENA)	10	1	54	1	1
1166	MIS PRIMEROS TRAZOS # 228	9	1	04	5	1
1167	GONZALO OLEAS ZAMBRANO	4	4	53	1	1
1168	PRIMERO DE MAYO	17	1	19	1	1
1169	MANUEL J. BASTIDAS	4	5	02	1	1
1170	PLAZA PALLARES	10	1	52	1	1
1172	PEDRO RAFAEL MENCIAS AUZ	4	5	02	1	1
1175	FERNANDO POZO GUERRERO	4	5	02	1	1
1176	CAMILO GALLEGOS DOMINGUEZ	4	5	01	1	1
1177	JUAN MONTALVO	17	1	76	5	1
1180	ECUADOR	4	5	02	1	1
1181	6 DE MAYO	4	5	51	1	1
1182	LUZ DE UN NUEVO AMANECER	4	5	55	1	1
1184	JUAN EVANGELISTA NARVAEZ	4	5	54	1	1
1185	CASA DE LA CULTURA	10	1	55	1	1
1186	JUAN DE SALINAS	10	1	56	1	1
1187	SAN ANTONIO	10	1	57	1	1
1188	SIN NOMBRE (STO. DOMINGO)	10	1	57	1	1
1189	SANTA MARIANITA DE JESUS	10	1	01	4	1
1190	MADRE TERESA BACQ	10	1	01	4	1
1192	IBARRA	10	1	03	5	1
1194	SANTA TERESITA DEL NIÑO JESUS	10	1	03	4	1
1195	RAFAEL CARVAJAL (4 DE JULIO)	10	1	04	4	1
1196	LA INMACULADA CONCEPCION	10	1	04	4	1
1197	LIDIA SEVILLA LEON	10	1	03	5	1
1198	SAGRADO CORAZON DE JESUS	10	1	04	4	1
1200	LUIS LEON RUALES (LA SALLE)	10	1	04	4	1
1201	AMBUQUI	10	1	51	1	1
1202	JEAN PIAGET	10	1	04	5	1
1203	JOSE MARIA VELASCO IBARRA	10	2	02	1	1
1204	BRUNO VINUEZA PAEZ	10	2	01	1	1
1205	JUAN JOSE FLORES	10	2	53	1	1
1206	NATABUELA	10	2	52	1	1
1207	SAN ROQUE	10	2	54	1	1
1208	SANTA LUISA DE MARILLAC	10	2	02	4	1
1209	JUAN FRANCISCO CEVALLOS	10	3	01	1	1
1210	DR. TRAJANO NARANJO	10	3	01	1	1
1211	CHARLES DARWIN	10	3	51	1	1
1212	RUBEN JARAMILLO	10	3	53	1	1
1213	MANUELITA SAENZ	10	3	52	1	1
1214	SIN NOMBRE (PEÑAHERRERA)	10	3	54	1	1
1215	28 DE JUNIO	10	3	56	1	1
1216	HORTENCIA YEPEZ TOBAR	10	3	02	1	1
1217	ELOISA ALVAREZ DE AYALA	10	3	57	1	1
1218	SANTISIMO SACRAMENTO	10	3	02	4	1
1219	31 DE OCTUBRE	10	4	01	1	1
1220	CARLOS ALFONSO CISNEROS P.(INDIGENA)	10	4	51	1	1
1221	BENJAMIN CARRION	10	4	01	1	1
1222	JAIME BURBANO ALOMIA	10	4	02	1	1
1223	VICTOR ALEJANDRO JARAMILLO	10	4	55	1	1
1225	SIN NOMBRE (AGATO) (INDIGENA)	10	4	51	1	1
1226	NOHEMI MURIEL (INDIGENA)	10	4	52	1	1
1227	24 DE MARZO	10	4	53	1	1
1228	FEDERICO GONZALEZ SUAREZ (INDIGENA)	10	4	53	1	1
1229	U. EDUCATIVA PROVINCIA DE LOJA (INDIGENA	10	4	53	1	1
1230	PEGUCHE (INDIGENA)	10	4	51	1	1
1231	12 DE NOVIEMBRE (INDIGENA)	10	4	56	1	1
1232	ALFREDO PEREZ GUERRERO	10	4	57	1	1
1233	SIMON BOLIVAR	10	4	59	1	1
1234	CIUDAD DE OTAVALO	10	4	02	5	1
1235	PRINCESA TOA	10	4	58	1	1
1237	CLELIA VEGA VACA	17	1	51	1	1
1238	GABRIEL PINO ROCA # 40	9	1	05	1	1
1240	PRIMAVERA (INDIGENA)	10	4	55	1	1
1241	ABRAHAM LINCOLN  # 46	9	1	05	1	1
1243	OVIDIO DECROLY (ALANGASI)	17	1	51	1	1
1244	26 DE MAYO	10	5	01	1	1
1245	JOSE BAQUERIZO MALDONADO # 48	9	1	05	1	1
1246	INGAPIRCA	10	5	52	1	1
1248	JULIO REYES GONZALEZ # 65	9	1	05	1	1
1249	MANUELA CAÑIZARES	17	1	18	1	1
1251	LA DOLOROSA DEL COLEGIO	10	5	01	4	1
1252	SANTIAGO DE GUAYAQUIL # 66	9	1	05	1	1
1254	29 DE MAYO	10	6	51	1	1
1255	CLUB DE LEONES # 93	9	1	05	1	1
1256	PABLO ARENAS	10	6	53	1	1
1257	QUITO # 95	9	1	12	1	1
1258	JUAN JACOBO ROUSSEAU	17	1	55	1	1
1259	TUMBABIRO	10	6	55	1	1
1260	LEONIDAS GARCIA ORTIZ  # 11	9	1	14	1	1
1261	ALFREDO CISNEROS	17	1	55	1	1
1262	ALBERTO AMADOR	10	6	54	1	1
1264	IRUGUINCHO	10	6	54	1	1
1265	ELEONORA NEWMAN	17	1	57	1	1
1268	PIO JARAMILLO ALVARADO (CUMBAYA)	17	1	57	1	1
1269	OLFA DE BUCARAM # 35	9	1	06	1	1
1270	DR.CAMILO PONCE ENRIQUEZ	17	1	59	1	1
1271	ELOY ALFARO  # 37	9	1	04	1	1
1273	ALFREDO BAQUERIZO MORENO # 39	9	1	06	1	1
1274	JACOBO BUCARAM E. # 41	9	1	04	1	1
1276	ESPERANZA CAPUTI OLVERA # 49	9	1	06	1	1
1278	JUAN MARIA MARTINEZ COELLO # 50	9	1	06	1	1
1280	PEDRO J. MENENDEZ NAVARRO # 67	9	1	06	1	1
1281	SOR MARIA XAVIER	17	7	51	2	1
1282	MAURA VERA DE MAQUILON  # 72	9	1	06	1	1
1285	JOSE REYES ROSERO	10	6	01	1	1
1286	HIPATIA CARDENAS DE BUSTAMANTE	17	1	72	1	1
1287	ALFREDO ALBUJA GALINDO	10	1	04	3	1
1290	CARLOS JULIO AROSEMENA TOLA # 84	9	1	06	1	1
1291	ISAAC NEWTON ( PIFO )	17	1	75	1	1
1292	LOS OVALOS	10	2	52	1	1
1295	JULIO HIDALGO	17	1	76	1	1
1296	MERCEDES MORLA FLOR # 25	9	1	06	4	1
1297	MANUEL CORDOVA GALARZA	17	1	77	1	1
1299	LA PRESENTACION # 89	9	1	06	4	1
1301	CASITA DE VERANO # 179	9	1	11	5	1
1302	MANGAHUANTAG	17	1	79	1	1
1305	PEDRO JOSE HUERTA # 31	9	1	07	1	1
1306	UNIDAD EDUCATIVA MITAD DEL MUNDO	17	1	80	1	1
1309	ELIO GOMEZ V.	17	6	06	5	1
1310	CAYETANO TARRUEL # 26	9	1	07	4	1
1311	ALBORADA # 51	9	1	07	5	1
1312	LUZ AURORA # 95	9	1	12	5	1
1314	MUNDO HISPANO # 157	9	1	07	5	1
1316	LEON DE FEBRES CORDERO  # 26	9	1	12	1	1
1317	PEDRO VICENTE MALDONADO # 27	9	1	01	1	1
1318	REY DAVID # 196	9	1	09	4	1
1319	TRAZOS Y LETRAS # 147	9	1	12	5	1
1320	ADOLFO FASSIO # 36	9	1	11	1	1
1321	ZOILA ESPERANZA CRESPO # 86	9	1	11	1	1
1322	LICEO ESPAÑOL  # 15	9	1	11	5	1
1323	AMIGO DE LOS NIÑOS # 406	9	1	04	5	1
1324	INSTITUTO BILINGUE GUAYAQUIL # 44	9	1	11	5	1
1325	ROSARIO SANCHEZ BRUNO # 55	9	1	11	4	1
1326	NIÑO FELIZ # 67	9	1	11	5	1
1327	PRIMAVERA # 110	9	1	11	5	1
1328	COLORIN EN UN MUNDO DE FANT.# 189	9	1	05	5	1
1330	PRIMICIAS # 234	9	1	11	5	1
1331	COLOMBIA ALFARO DE HUERTA # 5	9	1	12	1	1
1332	VIRGINIA LARENAS	17	1	84	1	1
1333	LOLA TAMAYO ORTEGA  # 8	9	1	12	1	1
1334	CLEMENTINA TRIVIÑO DE UNDA # 12	9	1	12	1	1
1335	YOLANDA MEDINA MENA	17	1	85	1	1
1336	MAGDALENA C.DE D.ARCENTALES # 22	9	1	12	1	1
1337	PEDRO LUIS CALERO	17	1	24	4	1
1338	GABRIELA MISTRAL # 23	9	1	12	1	1
1339	SANDRO PERTINI  # 25	9	1	12	1	1
1341	FRANCISCO DE ICAZA BUSTAM. # 32	9	1	12	1	1
1342	ILSE CALDERON VON BUCHWALD # 33	9	1	12	1	1
1343	MARTIN GONZALEZ	17	2	02	1	1
1344	HERMANO MIGUEL # 44	9	1	14	1	1
1345	ENRIQUE GRAU RUIZ # 57	9	1	12	1	1
1346	PATRONATO DEL NIÑO (CAYAMBE)	17	2	02	1	1
1347	ROSA ABIGAIL JARRIN DE JARRIN	17	2	53	1	1
1348	CARLOS CUEVA TAMARIZ (CAYAMBE)	17	2	02	1	1
1350	ANA CARVAJAL DE DURAN	17	2	01	1	1
1351	JUANA DE IBARBOROU	17	2	02	1	1
1352	ESPAÑA # 70	9	1	12	1	1
1354	EMMA ESPERANZA ORTIZ BERMEO # 71	9	1	12	1	1
1355	JOSE ANTONIO GALLEGOS OROZCO # 74	9	1	12	1	1
1357	ZOILA RENDON DE MOSQUERA	17	2	52	1	1
1358	MARIA ESTHER WITHER NAVARRO # 83	9	1	12	1	1
1359	CRECER ALANGASI	17	1	51	5	1
1360	JUAN GUTENBERG	17	3	01	1	1
1361	MERCEDES MARTINEZ ACOSTA	17	3	51	1	1
1362	ENRIQUE VALLEJO VIVANCO # 85	9	1	12	1	1
1363	ESTADO DEL CANADA # 98	9	1	12	1	1
1364	BETHSABE CASTILLO DE CASTILLO # 9	9	1	12	1	1
1366	NIÑO DE PRAGA # 3	9	1	12	5	1
1367	AMERICANO  # 5	9	1	12	5	1
1368	EL GIRASOL # 8	9	1	12	5	1
1370	ALEMAN HUMBOLDT # 12	9	1	12	5	1
1372	EL FAROLITO  # 16	9	1	12	5	1
1373	NUESTRA MADRE DE LA MERCED # 17	9	1	12	4	1
1374	MUNDO DE LOS NIÑOS # 22	9	1	12	5	1
1377	NUEVA ALBORADA  # 29	9	1	12	5	1
1378	CONEJO DE LA SUERTE # 30	9	1	12	5	1
1383	TOMASITO  # 47	9	1	12	5	1
1384	NUEVA AMERICA  # 49	9	1	11	5	1
1387	LOS ARISTOGATOS   # 54	9	1	12	5	1
1390	BILLIKEN  # 63	9	1	12	5	1
1391	PLAZA SESAMO # 65	9	1	12	5	1
1392	VALDIVIA  # 72	9	1	12	5	1
1393	GOTITAS DE LLUVIA # 73	9	1	12	5	1
1394	JEFFERSON # 74	9	1	12	5	1
1395	LAS CUATRO ESTACIONES  # 76	9	1	12	5	1
1398	TIA MARIA ROSA # 83	9	1	12	5	1
1400	LOS TRES OSITOS   # 88	9	1	12	5	1
1401	NSTR SRA DEL SAGRADO CORAZON #92	9	1	12	4	1
1403	PASITOS # 98	9	1	12	5	1
1406	MARIA DE BELEN # 105	9	1	12	5	1
1407	ASUNCION # 106	9	1	12	4	1
1408	MODERNA # 93	9	1	12	5	1
1409	SANTO DOMINGO DE GUZMAN # 112	9	1	12	4	1
1412	SANTA LUISA DE MARILLAC # 122	9	1	12	4	1
1415	ISRAEL #130	9	1	12	4	1
1421	NUEVA INTERAMERICANA # 145	9	1	12	5	1
1423	LOS ANDES # 153	9	1	12	5	1
1425	PEDRO LEMARIE  # 155	9	1	12	5	1
1426	SAN JUAN # 158 (U.E.)	9	1	12	5	1
1428	QUERUBINES # 79	9	1	12	5	1
1429	KENNEDY  # 164	9	1	12	5	1
1432	LAS PERSONITAS DEL MAÑANA # 160	9	1	12	5	1
1434	GARABATOS # 180	9	1	12	5	1
1436	RINCONCITO # 183	9	1	11	5	1
1439	LICEO BELLAVISTA # 197	9	1	12	5	1
1445	LOS DELFINES # 212	9	1	12	5	1
1447	AVANCES  # 215	9	1	12	5	1
1449	INTERNACIONAL SEK # 380	9	1	15	5	1
1450	NUESTRA MADRE DE LA ALBORADA #220	9	1	12	5	1
1451	CHIQUITINES  # 221	9	1	12	5	1
1453	INST.DE INV.PARA LA INFANCIA #224	9	1	12	5	1
1454	LA ANUNCIACION # 225	9	1	12	5	1
1455	MARIA LUQUE DE ROHDE # 227	9	1	12	4	1
1456	BALANDRA # 240	9	1	12	5	1
1457	ARCA DE NOE # 241	9	1	12	5	1
1458	AMIGUITOS DEL DUMBO # 242	9	1	12	5	1
1459	LOS MUÑEQUITOS # 244	9	1	12	5	1
1461	ROSA BORJA DE IZQUIERDO # 68	9	1	13	1	1
1463	DIOS ES AMOR # 9	9	1	13	4	1
1464	MI SEGUNDO HOGAR # 45	9	1	13	5	1
1465	LOS BAMBINOS # 139	9	1	13	5	1
1466	SANTA MARIA GORETTI # 171	9	1	13	4	1
1469	JOSE DE RUBIRA RAMOS # 3	9	1	14	1	1
1472	ESPERANZA CAPUTI OLVERA # 7	9	1	14	1	1
1473	OLGA AGUILAR RAMOS # 10	9	1	14	1	1
1475	BLANCA GILBERT DE INTRIAGO # 16	9	1	14	1	1
1476	ISABEL MORLAS # 17	9	1	14	1	1
1479	UNIDAD EDUCATIVA EL CHAUPI(LOS ILINIZAS_	17	3	54	1	1
1480	MAGDALENA CABEZAS DE DURAN	17	3	57	1	1
1481	MARIETA DE VEINTIMILLA	17	5	01	1	1
1482	SIN NOMBRE <EL ESFUERZO>	17	6	06	1	1
1483	UNICEF	17	6	06	1	1
1484	NUEVO ISRAEL	17	6	06	1	1
1485	24 DE ENERO	17	6	51	1	1
1486	LOS ROSALES	17	6	02	1	1
1487	13 DE ABRIL	17	6	01	1	1
1489	U.N.E.	17	6	06	1	1
1490	LAS PALMAS	17	6	02	1	1
1491	MANUELA ESPEJO	17	6	06	1	1
1492	EMAUS FE Y ALEGRIA	17	1	21	2	1
1494	LUIS AURELIO GONZALEZ	2	1	01	1	1
1495	TERESA LEON DE NOBOA	2	1	02	1	1
1496	CARLOS CHAVEZ GUERRERO	2	1	02	1	1
1497	GABRIEL HIDALGO BACA (FE Y ALEGRIA)	17	1	21	2	1
1499	JESUS NIÑO	17	1	21	5	1
1500	UNIDAD EDUCATIVA VERBO DIVINO	2	1	02	2	1
1501	DE LA INMACULADA	17	1	13	4	1
1502	JOSE SALCEDO DELGADO # 18	9	1	14	1	1
1505	CLARA WITHER FERRETTI  # 24	9	1	14	1	1
1506	VICTORIA TORRES DE NEIRA # 52	9	1	14	1	1
1507	SANTA MARIANA DE JESUS	2	1	02	4	1
1508	IGNACIA BEJAR SANCHEZ # 59	9	1	14	1	1
1509	HOGAR COLEGIO LA DOLOROSA	17	1	22	4	1
1510	VICTORIA PEREZ # 64	9	1	14	1	1
1512	NUESTRA SEÑORA DE LA PAZ	17	1	18	5	1
1514	NIÑO JESUS DE PRAGA	17	1	18	4	1
1515	RAFAEL ANTONIO POVEDA SALTOS	2	1	58	1	1
1516	PIO XII (S.D.C.)	17	6	03	4	1
1517	MARIA TAPIA DE VELASCO	2	1	03	1	1
1518	ANDINO	17	1	22	5	1
1519	20 DE NOVIEMBRE	2	1	03	1	1
1520	HENRY BECQUEREL	17	1	22	5	1
1521	FRANCISCO DE ORELLANA	17	1	22	5	1
1522	TIERNO DESPERTAR	2	1	57	1	1
1524	MARIA ESTATIRA UQUILLAS	2	1	56	1	1
1527	TIERNA TORTOLITA	2	1	55	1	1
1529	ESPERANZA D.L.A.URUETA FACCIN #91	9	1	14	1	1
1530	ANTONIO POLO	2	1	51	1	1
1531	MODESTO CHAVEZ FRANCO # 94	9	1	14	1	1
1532	JOSE ELIAS ALTAMIRANO # 75	9	1	14	1	1
1534	PRESIDENTE ALFARO # 2	9	1	14	5	1
1535	LA VICTORIA	10	6	53	1	1
1536	DR. ANGEL LEON ALARCON	2	7	02	1	1
1538	MARIA DIOSELINA CHIMBO DE ESPINOZA	2	1	60	1	1
1539	MARIO GERARDO LARREA	2	4	01	1	1
1541	AMANECER	2	4	01	1	1
1542	MERCEDES BONILLA	2	4	01	1	1
1543	TELMO N. VACA	2	3	01	1	1
1544	LICEO PANAMERICANO  # 7	9	1	14	5	1
1545	NOTRE DAME N. 18	9	1	14	5	1
1546	INFANCIA FELIZ  # 24	9	1	14	5	1
1547	JULIA BAZANTE	2	3	51	1	1
1548	JILGUERITOS	2	3	53	1	1
1549	FELIZA EGUEZ	2	6	01	1	1
1550	POLICARPA CARVAJAL	2	6	01	1	1
1551	MIS TRAVESURAS	2	6	01	1	1
1552	AIDA LEON DE RODRIGUEZ LARA	2	5	01	1	1
1553	SIN NOMBRE (ANEXO AL INSTITUTO)	2	5	01	1	1
1554	PINOCHO # 28	9	1	14	5	1
1556	CESAR AUGUSTO CHAVEZ G.	2	5	54	1	1
1558	MODERNA GUAYAS # 34	9	1	14	5	1
1559	ELIAS POVEDA MESTANZA	2	5	55	1	1
1560	EL PARAISO DE LOS NIÑOS # 37	9	1	14	5	1
1561	VIDA NUEVA # 40	9	1	14	5	1
1562	EDUARDO Y GRACE # 41	9	1	14	5	1
1563	MABEL # 42	9	1	14	5	1
1564	CASITA DE FANTASIAS	2	5	56	1	1
1565	INTERNATIONAL SCHOOL  # 52	9	1	14	5	1
1566	LICEO ECUATORIANO FRANCES # 53	9	1	14	5	1
1567	ESTHER RIVADENEIRA	2	5	51	1	1
1568	NAVAL # 60	9	1	13	5	1
1570	AMIGOS # 70	9	1	14	5	1
1571	EVARISTO GARCIA	2	5	52	1	1
1573	CRISTOBAL COLON   # 77	9	1	14	5	1
1575	CAMINITOS DE LUZ	2	5	53	1	1
1576	MI FELIZ HOGAR  # 111	9	1	14	5	1
1578	HOMERO VILLAGOMEZ	2	2	01	1	1
1579	EL ROSAL	2	2	01	1	1
1580	LETRAS Y VIDA # 109	9	1	12	5	1
1583	SIEMPRE BRILLA EL SOL	2	2	01	1	1
1586	MUNDO DE MARAVILLAS	2	2	51	1	1
1587	PRESIDENTE ROLDOS # 128	9	1	14	5	1
1588	OVIDIO DECROLY  # 131	9	1	14	5	1
1590	JESUS DE NAZARETH # 133	9	1	14	4	1
1593	PORTAL DE BELEN  # 138	9	1	14	5	1
1595	BALTAZARA CALDERON DE ROCAF.# 140	9	1	14	4	1
1597	ABEJITA MAYA # 150	9	1	14	5	1
1598	HORIZONTES DE QUITO	17	1	24	5	1
1599	PEQUES # 156	9	1	14	5	1
1601	OSITO PANDA # 161	9	1	14	5	1
1603	SUEÑOS DE PARVULOS # 162	9	1	14	5	1
1604	AIDA GAVILANEZ	2	1	02	1	1
1605	VIRGEN DE MONSERRATE # 163	9	1	14	5	1
1606	TRAVESURAS INFANTILES # 168	9	1	14	5	1
1609	PABLO MUÑOZ VEGA	17	1	27	5	1
1610	CANDY # 185	9	1	14	5	1
1612	ARCO IRIS # 192	9	1	14	5	1
1613	PADRE MARCOS BENETAZZO # 193	9	1	14	5	1
1616	ANN Y ANDY  # 200	9	1	14	5	1
1617	CARITAS ALEGRES	17	1	84	5	1
1619	MI PEQUEÑO MUNDO # 211	9	1	14	5	1
1620	MARANATHA  # 216	9	1	14	5	1
1621	PEDACITOS DE PINTORES # 223	9	1	14	5	1
1622	ADVENTISTA CIUDAD DE QUITO	17	1	18	5	1
1623	COMISION DE TRANSITO DEL G.# 226	9	1	14	5	1
1626	TOMAS SACOTO MARCHAN	3	2	01	1	1
1627	JOSE AMADEO JACOME	17	1	18	5	1
1629	NIÑO DE BELEN  # 245	9	1	14	5	1
1630	UNIV. CATOLICA DE GUAYAQUIL # 246	9	1	14	5	1
1631	ZOILA ROSA DEL VALLE	17	1	27	4	1
1633	FANNY VELEZ ORTEGA	3	2	52	1	1
1635	EUGENIO ESPEJO	3	2	53	1	1
1637	ANA PAREDES DE ALFARO	3	3	01	1	1
1641	GENERAL RUMIÑAHUI-INDIGENA	3	3	01	1	1
1643	EL PRINCIPITO	17	1	03	5	1
1644	DOLORES GONZALEZ CALLE	3	3	63	1	1
1646	CIUDAD DE POSORJA # 1	9	1	56	1	1
1647	QUITO ENGLISH COLLEGE	17	1	65	5	1
1649	REMIGIO CRESPO TORAL	3	3	52	1	1
