id_seq	ubicacion	nombre_normalizado	conteo	ids_escuela
82	010108	CAZADORES DE LOS RIOS	1	8379
83	010108	LA ABEJITA	1	14014
84	010108	MARIO RIZZINI	1	8381
85	010109	ANDRES F.CORDOVA	1	8384
86	010109	CATALINA GUERRERO	1	8383
87	010109	CESAR ANDRADE Y CORDERO	1	13021
88	010109	IGNACIO ANDRADE ARIZAGA	1	15506
89	010109	IVAN SALGADO ESPINOSA	1	8387
90	010109	IVAN SALGADO ESPINOZA	1	8128
91	010109	MANUELA GARAICOA DE CALDERON	1	13019
92	010110	LUIS CORDERO CRESPO	1	8409
93	010110	MANUELA CAÑIZARES	2	8135,8391
94	010110	SOR TERESA VALSE	1	14063
95	010110	TERESA VALSE	1	8397
96	010111	ANGELA RODRIGUEZ	1	15483
97	010111	ANTONIO BORRERO VEGA	1	8100
98	010111	CIUDAD DE CUENCA	1	13022
99	010111	ECUADOR	2	13025,13026
100	010111	EMILIO MURILLO	1	8457
101	010111	HERNAN CORDERO CRESPO	1	8421
102	010111	IGNACIO MALO TAMARIZ	1	8418
103	010111	REINALDO CHICO GARCIA	2	8153,8423
104	010111	REMIGIO CRESPO TORAL	2	8415,14015
105	010111	SAGRADOS CORAZONES	3	8491,9360,13178
106	010111	SANTANA	2	8835,14067
107	010111	ULISES CHACON	1	8416
108	010111	UNE DEL AZUAY	1	8082
109	010111	URUGUAY	1	8353
110	010111	VICTOR GERARDO AGUILAR	1	13029
111	010112	ANGEL POLIBIO CHAVEZ	1	14091
112	010112	ANTONIO AVILA MALDONADO	2	12965,12974
113	010112	BENIGNO MALO	1	14240
114	010112	BILINGUE INTERAMERICANA	1	8465
115	010112	BILINGUE INTERAMERICANO	2	13184,15481
116	010112	CARLOS CRESPI CROCI	1	14010
117	010112	EUGENIO ESPEJO	1	8297
118	010112	FRAY VICENTE SOLANO	1	13181
119	010112	GIL RAMIREZ DAVALOS	1	14103
120	010112	JACINTO CORMIER	1	13185
121	010112	JOSE FIDEL HIDALGO	1	14062
122	010112	LUISA DE JESUS CORDERO	1	8460
123	010112	MIGUEL MERCHAN OCHOA	2	13012,13016
124	010112	PANAMA	2	8462,14017
125	010112	REMIGIO ROMERO Y CORDERO (UNEDID)	1	8458
126	010112	SAN ROQUE	1	15500
127	010113	ABELARDO TAMARIZ CRESPO	2	8411,14019
128	010113	ATENAS DEL ECUADOR	1	14098
129	010113	CENTRO DE DESARROLLO INFANTIL (CDI)	1	14029
130	010113	HERLINDA TORAL	1	13056
131	010113	RICARDO MUÑOZ CHAVEZ	1	14097
132	010113	UNE DEL AZUAY	1	13042
133	010114	ABC	1	8114
134	010114	FRANCISCA ARIZAGA TORAL	1	8413
135	010114	I.T.S. SALESIANO	1	14242
136	010114	IGNACIO ESCANDON	2	8142,8463
137	010114	LEONCIO CORDERO JARAMILLO	2	8291,14020
138	010114	VELASCO IBARRA	2	14021,14099
139	010115	DANIEL CORDOVA TORAL	1	9168
140	010115	HECTOR SEMPERTEGUI GARCIA	1	8833
141	010115	ISABEL MOSCOSO DAVILA	1	14040
142	010115	PIO XII	1	14180
143	010115	VOLTAIRE	2	14047,14125
144	010151	AGUSTIN CARRION HEREDIA	1	8468
145	010151	AGUSTIN CUESTA VINTIMILLA	1	8477
146	010151	ALFONSO CARRION HEREDIA	1	8479
147	010151	CORNELIO CRESPO TORAL	1	8473
148	010151	ENRIQUETA CORDERO DAVILA	2	8146,8475
149	010151	JOEL MONROY	1	8480
150	010151	MANUEL CORDOVA GALARZA	2	13049,14225
151	010151	MEDARDO NEIRA GARZON	1	8471
152	010151	RAFAEL BORJA	1	13188
153	010151	SAN FRANCISCO DE BORJA	2	8467,14065
154	010151	SEGUNDO ESPINOSA CALLE	1	8470
155	010152	CARLOS TERAN ZENTENO	1	8482
156	010152	GABRIEL ARCENIO ULLAURI	1	14022
157	010152	GABRIEL ARSENIO ULLAURI	1	8483
158	010152	JOSE MARIA CAMACARO	1	8486
159	010152	LOS ALAMOS	1	8488
160	010152	SOCIEDAD SAN FRANCISCO	1	8490
161	010153	CORNELIO HIDALGO CASTRO	1	8515
162	010153	ECUADOR AMAZONICO	1	8509
163	010153	JUAN JOSE RAMOS	1	8512
164	010153	LEONCIO GALLEGOS SOLANO	1	8496
165	010153	MARIO VICENTE GOMEZ ULLAURI	1	8502
166	010153	RAFAEL MARIA ARIZAGA	1	13073
167	010153	SAN PEDRO	1	8520
168	010153	TOMAS ABAD	1	8523
169	010154	ABELARDO J ANDRADE	1	8525
170	010154	CHECA	1	13076
171	010154	HIPOLITO MORA	1	14172
172	010154	RAFAEL CORRAL MOSCOSO	1	8529
173	010155	ALFONSO CARRASCO	1	8533
174	010155	CHIQUINTAD	1	13081
175	010155	FRANCISCO CISNEROS	1	8549
176	010155	GERARDO CORDERO JARAMILLO	1	14173
177	010155	JILGUERITOS	1	14024
178	010155	JOSE PERALTA	1	8539
179	010155	ROBERTO ESPINOZA	1	8546
180	010155	VIRGILIO SALAZAR	1	8541
181	010156	ALFREDO H. MORA	1	8552
182	010156	ENRIQUE MALO ANDRADE	1	15484
183	010156	GABRIEL ARSENIO ULLAURI	1	13096
184	010156	GONZALO S. CORDOVA	2	8556,14028
185	010156	JOSE MARIA PACURUCU ORTEGA	1	8682
186	010156	MANUELA MOGROVEJO	1	8560
187	010156	MIGUEL DIAZ CUEVA	1	8565
188	010156	XAVIER MUÑOZ CHAVEZ	1	8566
189	010157	1 DE ENERO	1	9270
190	010157	1 DE MAYO	1	8596
191	010157	10 DE MAYO	1	8592
192	010157	15 DE AGOSTO	1	8625
193	010157	16 DE OCTUBRE	1	15505
194	010157	24 DE MAYO	1	8571
195	010157	29 DE JUNIO	1	8665
196	010157	3 DE MAYO	1	8672
197	010157	5 DE ABRIL	1	8641
198	010157	6 DE ENERO	1	8606
199	010157	ABDON CALDERON	1	13115
200	010157	ABDON CALDERON MUÑOZ	1	8586
201	010157	ALONSO GONZALEZ GONZALEZ	1	8658
202	010157	CARLOS MORALES	1	8668
203	010157	EUFEMIA GUANANGA MANGUI	1	8574
204	010157	JAIME ALVEAR MERCHAN	1	8603
205	010157	JESUS DEL GRAN PODER	1	8622
206	010157	JUAN LEON MERA	2	8163,8650
207	010157	JULIO BRAVO ABAD	1	8661
208	010157	LUIS VELECELA YUNGA	1	8573
209	010157	LUZ DE AMERICA	1	8599
210	010157	LUZ DEL AZUAY	1	8621
211	010157	LUZ Y GUIA	2	13119,15485
212	010157	MANUELA GARAICOA DE CALDERON	1	8580
213	010157	MARIA CRISTINA BRITO ROSAS	1	8630
214	010157	MOLLETURO	1	13098
215	010157	RAFAEL ADOLFO GALINDO MOSCOSO	1	8628
216	010157	REINO DE QUITO	1	8583
217	010157	RIO MARAÑON	1	8612
218	010157	RIO PUTUCAY	1	8614
219	010157	SAN ANTONIO DE RIO BLANCO	1	8645
220	010157	SANTA ANA DE LOS RIOS	1	8598
221	010157	SIN NOMBRE DE BELLA UNION	1	8569
222	010157	SIN NOMBRE DE TRES MARIAS	1	8577
223	010157	VICENTE ESCANDON ASTUDILLO	1	8648
224	010157	VICENTE MORENO MORA	1	8636
225	010158	FRANCISCO TAMARIZ	2	8167,8687
226	010158	MANUEL RAMON BALAREZO	1	8677
227	010158	MANUEL VEGA	1	8680
228	010158	MIGUEL CHERREZ MALDONADO	1	8685
229	010158	NULTI	1	13121
230	010158	TERESA SEMERIA	1	8675
231	010159	ADOLFO A. TORRES	1	13123
232	010159	EZEQUIEL MARQUEZ	1	15486
233	010159	GREGORIO CORDERO CRESPO	1	8691
234	010159	GUILLERMO MENSI	1	14109
235	010159	JESUS MARIA YEPEZ	1	8697
236	010159	OCTAVIO CORDERO PALACIOS	1	8694
237	010160	CESAR VAZQUEZ ASTUDILLO	1	13124
238	010160	ELIAS GALARZA ARTEAGA	1	8704
239	010160	HUMBERTO ESQUIVEL	1	8707
240	010160	JOSE OCHOA SERRANO	1	8703
241	010160	MANUEL CORONEL	1	8699
242	010160	MEDARDO LUIS TORRES	1	8701
243	010161	30 DE MAYO	1	14120
244	010161	5 DE ENERO	1	14111
245	010161	ALFONSO RIVERA NOVILLO	1	8721
246	010161	AMADEO MALDONADO VASQUEZ	1	8730
247	010161	ANTONIO NEUMANE	1	8725
248	010161	CELIA DELGADO DE VASQUEZ	1	8722
249	010161	CEM DE QUINGEO	1	13125
250	010161	CESAR HUMBERTO MALDONADO IGLESIAS	1	8712
251	010161	CIUDAD DE OTAVALO	1	8718
252	010161	DOLORES FLORES FLORES	1	8734
253	010161	GONZALO CORDERO (PLANTEL CENTRAL)	1	8709
254	010161	JUAN IÑIGUEZ VINTIMILLA	1	8742
255	010161	MARTIN WELTE	1	8714
256	010161	ROBERTO CRESPO TORAL	1	8738
257	010161	VICTOR MENDEZ PALACIOS	1	14112
258	010162	ALBERTO ASTUDILLO MONTESINOS	1	8179
259	010162	ESTADOS UNIDOS DE NORTE AMERICA	1	8753
260	010162	FEDERICO MALO	2	8184,8756
261	010162	HNO. ENRIQUE VASQUEZ PACHECO	1	8760
262	010162	ISAAC A. CHICO	1	8748
263	010162	MANUEL MARIA PALACIOS BRAVO	1	8744
264	010162	RICAURTE	1	13126
265	010162	ROSA DE JESUS CORDERO	1	14057
266	010162	VICENTE LEON PICON	1	8764
267	010163	ANTONIO FARFAN	1	15492
268	010163	EDUARDO CRESPO MALO	1	15493
269	010163	JOSE GORELIK	1	15494
270	010163	MANUEL ORMAZA BRIONES	1	15495
271	010163	RAFAEL MARIA ARIZAGA	1	15491
272	010163	SAN JOAQUIN	1	13131
273	010164	ALFONSO MARIA BORRERO (PLANTEL CENTRAL)	1	8785
274	010164	CEM DE SANTA ANA	1	13138
275	010164	GASPAR SANGURIMA	1	8774
276	010164	HECTOR AUQUILLA	1	14129
277	010164	JOSE MARIA EGAS M.	1	8768
278	010164	JOSE VICTOR ORDOÑEZ ZAMBONINO	1	8791
279	010164	LUIS EDUARDO GUERRERO	1	8777
280	010164	ZOILA ESPERANZA PALACIO	1	8780
281	010165	ALBORADA	2	8807,14061
282	010165	ANDRES GALINDO	1	8801
283	010165	CORNELIO RUILOVA SANCHEZ	1	8814
284	010165	FRAY GASPAR DE CARVAJAL	1	8792
285	010165	JAVERIANO	1	13142
286	010165	JESUS VAZQUEZ OCHOA	1	8798
287	010165	JOAQUIN MALO TAMARIZ	2	8805,14033
288	010165	LOS LAURELES	1	8810
289	010165	SAN PEDRO	1	14032
290	010166	DORA BEATRIZ CANELOS B.	1	8828
291	010166	ENRIQUETA CAMPOS	1	8837
292	010166	LUIS SERRANO AREVALO	1	8825
293	010166	MIGUEL PRIETO	1	8831
294	010166	ROSARIO PRIETO DE FARFAN	1	8823
295	010167	ALEJANDRO PADILLA VASQUEZ	1	14117
296	010167	CARLOS RIGOBERTO VINTIMILLA	1	8818
297	010167	CAROLINA DE FEBRES CORDERO	1	14114
298	010167	JOAQUIN FERNANDEZ DE CORDOVA	1	14116
299	010167	JOSE MARIA ASTUDILLO ORTEGA	1	8839
300	010167	JUAN DE DIOS CORRAL	1	14113
301	010167	LA MERCED	1	14034
302	010167	LUIS MONSALVE POZO	1	14127
303	010167	MIRAFLORES	1	14039
304	010167	PADRE JUAN BAUTISTA AGUIRRE	1	14119
305	010167	PADRE JUAN CARLO	1	14118
306	010167	SININCAY	1	13191
307	010168	29 DE JULIO	1	8860
308	010168	ALFONSO MORENO MORA	1	8841
309	010168	AURELIO ORDOÑEZ ZAMORA	1	14121
310	010168	FAUSTO MOLINA	1	13151
311	010168	FRANCISCO MOSCOSO	1	8849
312	010168	HONORIO VEGA LARREA	1	14174
313	010168	JORGE VALENCIA PEÑAHERRERA	1	8862
314	010168	JOSE SALVADOR SANCHEZ ORTEGA	1	8846
315	010168	JUAN CONTRERAS	1	8853
316	010168	LUIS CORNEJO PEREZ	1	8842
317	010168	MIGUEL MOROCHO	1	14126
318	010168	MONSEÑOR LEONIDAS PROAÑO	1	8866
319	010168	SAN MIGUEL DE CHAULLAYACU	1	8844
320	010168	ZOILA CARMEN ALVARADO	1	8869
321	010169	ABDON CALDERON	2	8873,14043
322	010169	ANGEL BENIGNO BARRETO TAPIA	1	8900
323	010169	AURELIO OCHOA A.	1	8892
324	010169	FRANCISCO ASTUDILLO	1	8896
325	010169	JOSE RAFAEL ARIZAGA	1	8888
326	010169	MANUEL MARIA POLIT LASSO	1	8901
327	010169	TURI	1	13154
328	010170	BERTHA VINUEZA DE V.	1	8933
329	010170	ELOY ALFARO	1	8931
330	010170	GUILLERMO MENSI	1	13155
331	010170	HIPOLITO MORA ESPINOZA	1	8919
332	010170	JULIA ARIZAGA MOSCOSO	1	8195
333	010170	MANUEL GUERRERO	1	8908
334	010170	MARISCAL ANTONIO JOSE DE SUCRE	1	8912
335	010170	MOISES ARTEAGA VALDIVIESO	1	8929
336	010170	NICOLAS SOJOS JARAMILLO	1	8926
337	010170	OCTAVIO DIAZ LEON	1	8922
338	010170	RAMON BORRERO	1	8915
339	010170	TOMAS RENDON	1	8904
340	010171	ADOLFO BENJAMIN SERRANO	1	8943
341	010171	AURELIANO MARQUEZ ALVARADO	1	14178
342	010171	GUILLERMO VEGA GARCIA	1	8938
343	010171	MARCO AURELIO VELEZ C.	1	14123
344	010171	MIGUEL CORDERO CRESPO	1	8937
345	010171	NICOLAS ESPINOZA CORDERO	1	8148
346	010171	RAMON ULLOA	1	8945
347	010171	REMIGIO ROMERO LEON	2	8942,14026
348	010171	RENE ZEA OCHOA	1	14177
349	010171	ROBERTO QUIZHPE	1	8940
350	010171	SAN ALFONSO	1	8859
351	010171	SAN VICENTE DE ARRAYAN	1	8935
352	010171	TENIENTE HUGO ORTIZ	1	8946
353	010171	VICTORIA DEL PORTETE	1	13159
354	010201	27 DE FEBRERO	1	8125
355	010201	ABRAHAN BARZALLO	1	8139
356	010201	ADOLFO TORRES	1	8180
357	010201	AGUSTIN CRESPO HEREDIA	2	8155,14073
358	010201	ALBERTO PEÑAHERRERA CHICO	1	8141
359	010201	ALEJANDRO ANDRADE CORDERO	1	13195
360	010201	ANTONIO FLOR	1	8150
361	010201	CABO PAZAN	1	8145
362	010201	CIUDAD DE GIRON	1	13202
363	010201	DANIEL ALVARADO	1	8172
364	010201	GERARDO TOLEDO	1	8169
365	010201	JUAN JOSE FLORES	2	8136,14070
366	010201	MARISCAL SUCRE	1	8174
367	010201	RAFAEL CHICO PEÑAHERRERA	1	13198
368	010201	REINALDO CHICO PEÑAHERRERA	1	8186
369	010201	TOMAS H. QUINTANILLA	1	8156
370	010201	VICTORIA POZO TAMARIZ	1	8165
371	010251	2 DE AGOSTO	1	8191
372	010251	30 DE AGOSTO	1	14132
373	010251	ALBERTO MUÑOZ VERNAZA	2	8189,8205
374	010251	ANTONIO JOSE DE SUCRE	1	8198
375	010251	BENIGNO JARA	1	14131
376	010251	HUMBERTO LEON POZO	1	14133
377	010251	LUIS MANUEL CARPIO FLORES	1	8200
378	010251	LUIS MONSALVE POZO	1	14122
379	010251	MANUEL DE LA RADA	1	8194
380	010251	REMIGIO CRESPO TORAL	1	13205
381	010252	AGUSTIN CRESPO HEREDIA	1	8160
382	010252	GONZALO FEICAN GARZON	1	8183
383	010301	25 DE JUNIO	1	9014
384	010301	26 DE JUNIO	1	14183
385	010301	ALFONSO LITTUMA CORREA	1	13237
386	010301	BRASIL	1	8954
387	010301	CIUDAD DE GUALACEO	1	8959
388	010301	GUALACEO	1	13235
389	010301	GUILLERMO ANDRADE MORENO	1	15487
390	010301	HUAYNA CAPAC	1	8964
391	010301	JOAQUIN CORREA	1	8970
392	010301	JORGE RAUL PERALTA FARFAN	1	8972
393	010301	LUIS CORDERO DAVILA	1	8974
394	010301	MANUEL DAVILA CHICA	1	8965
395	010301	MARTHA BUCARAM	1	8961
396	010301	MERCEDES DE JESUS MOLINA	2	8228,8952
397	010301	MERCEDES VASQUEZ CORREA	1	8980
398	010301	MIGUEL IGNACIO CORDERO MONCAYO	1	8967
399	010301	MIGUEL MALO GONZALEZ	2	13236,14227
400	010301	RODRIGO CORDERO CRESPO	1	8978
401	010301	SANTO DOMINGO DE GUZMAN	3	8956,13242,14075
402	010301	VICTOR AURELIO COELLO NORITZ	1	8976
403	010352	JOAQUIN SALAZAR	1	9005
404	010352	MARIANO CUEVA	1	9002
405	010353	CAMILO GALLEGOS DOMINGUEZ	1	9016
406	010353	EL AMANECER	1	9013
407	010353	FEDERICO GUERRERO	1	9009
408	010353	FRANCISCO PAREDES HERRERA	1	9020
409	010353	JADAN	1	13239
410	010353	JOAQUIN MALO VALDIVIEZO	1	9007
411	010353	PROMOCION DEL 53	1	9018
412	010353	TADEO TORRES	2	8236,9011
413	010353	TERESA MORALES VILLAVICENCIO	1	9045
414	010354	CESAR ASTUDILLO	1	9022
415	010354	CUSTODIO VINTIMILLA	2	8237,9026
416	010354	FLORENTINO LEON	1	9024
417	010354	JOSE IGNACIO CANELOS	1	9028
418	010354	MARIETA VAZQUEZ PEÑA	1	9023
419	010354	REINALDO SEMINARIO	1	9000
420	010354	RIO TOMEBAMBA	1	13240
421	010356	ALFONSO ESTRELLA MARCHAN	1	9037
422	010356	CLUB LEONES DE VIRGINIA	1	9033
423	010356	LUIS CHACON MARIN	1	9035
424	010357	12 DE ABRIL	1	14230
425	010357	19 DE MAYO	1	14128
426	010357	CARLOS PESANTEZ TORRES	1	14188
427	010357	EMILIO MOSCOSO	1	9038
428	010357	LUIS EDUARDO SORIA	1	9039
429	010357	MIGUEL ANGEL GALARZA	1	9040
430	010357	NICANOR AGUILAR MALDONADO	1	9041
431	010357	RODOLFO ESPINOZA GARCIA	1	14189
432	010357	VICENTE PEÑA REYES	1	9043
433	010358	JORGE ALBERTO VASQUEZ MORALES	1	9047
434	010358	JOSE MORA LOPEZ	1	14190
435	010358	TOMAS ORDOÑEZ	1	9049
436	010359	REMIGIO ASTUDILLO	1	9003
437	010401	ABELARDO RODRIGUEZ	1	8356
438	010401	AGUSTIN J. PERALTA	2	8332,14076
439	010401	ARTURO QUEZADA MENDIETA	1	8366
440	010401	BALTAZAR AGUIRRE	1	8345
441	010401	CESAR AGUSTIN MOROCHO	1	8369
442	010401	FRANCISCO CARRASCO SERRANO	1	8342
443	010401	FRANCISCO CHICO	1	8231
444	010401	GERONIMO CARRION	1	8394
445	010401	GREGORIO BOBADILLA	1	8403
446	010401	IGNACIO DE VEINTIMILLA	1	14191
447	010401	JOSE ORTIZ DIAZ	1	8354
448	010401	JUAN AGUILAR CUBILLUS	1	8400
449	010401	NABON	1	13216
450	010401	ROSA ELENA ZEA	1	8359
451	010401	SAMUEL FRANCISCO CISNEROS PINEDA	1	8349
452	010401	SAN JOSE	1	8372
453	010451	10 DE DICIEMBRE	1	8213
454	010451	ANDRES BELTRAN (PLANTEL CENTRAL)	1	8221
455	010451	CEM DE COCHAPATA	1	13207
456	010451	DANIEL BRITO DURAN	1	8211
457	010451	EL RODEO	1	8203
458	010451	FELIX MORA ESPINOZA	1	8218
459	010451	LOS ANDES	1	14192
460	010451	MANUEL ULLAURI Y ROMERO	1	8209
461	010451	MANUEL ULPIANO ARIZAGA	1	8216
462	010451	NUEVA FATIMA	1	14193
463	010451	RIO AMAZONAS	1	8207
464	010451	SAN JOSE DE CHALCAY	1	8206
465	010452	ALBERTO OCHOA CHICA	1	15497
466	010452	CARLOS CUEVA TAMARIZ	1	8223
467	010452	CLAUDIO PEÑAHERRERA	1	8226
468	010452	COOPERATIVA LA CRIA	1	14156
469	010452	ELOY ALFARO	1	8435
470	010452	ENRIQUE ARIZAGA TORAL	1	13214
471	010452	ROLANDO OCHOA CHICA	1	8436
472	010452	WILFRIDO ALVAREZ AMBROSI	1	8439
473	010453	7 DE DICIEMBRE	1	8320
474	010453	ALFONSO NEIRA RODRIGUEZ	1	8328
475	010453	BELLA ALIANZA	1	8950
476	010453	JAVIER ESPINOZA	1	14194
477	010453	JUAN BAUTISTA DAVILA	1	8442
478	010453	LA PAZ	1	8313
479	010453	LEONIDAS PLAZA GUTIERREZ	1	8324
480	010453	TIERRA VIVA	1	14124
481	010501	26 DE FEBRERO	2	13243,14228
482	010501	4 DE OCTUBRE	1	14196
483	010501	ALEJANDRO MACHUCA	1	15488
484	010501	CIUDAD DE PAUTE	1	13244
485	010501	CORNELIO MOSQUERA LOPEZ	1	9070
486	010501	ISIDRO AYORA	1	9050
487	010501	JOSE FELIX MONSALVE	1	8240
488	010501	JULIO MARIA MATOVELLE	2	8246,9052
489	010501	NUESTRA SEÑORA DE FATIMA	1	9060
490	010501	RIO PAUTE	1	9058
491	010501	SIMON BOLIVAR	1	9055
492	010552	CRISTOBAL COLON	1	9073
493	010552	ENRIQUE NEIRA CARRION	1	9201
494	010552	HONORATO LOYOLA	1	14197
495	010552	LUZ DE AMERICA	1	9095
496	010552	LUZ MATILDE TORRES	1	14198
497	010552	NUEVOS SENDEROS	1	14199
498	010553	GERARDO CORDERO Y LEON	1	14200
499	010553	I.T.S. AGRONOMICO SALESIANO	1	13045
500	010553	MANUEL J CALLE	1	9099
501	010553	MODESTO VINTIMILLA	1	9102
502	010553	VICENTE CORDERO ESTRELLA	1	9106
503	010554	26 DE FEBRERO	1	9066
504	010554	ANTONIO VEGA MUÑOZ	2	8243,9056
505	010554	ATENAS DEL ECUADOR	1	13250
506	010554	JORGE MERCHAN AGUILAR	1	9061
507	010554	MANUEL JESUS AYABACA	1	9063
508	010554	RAFAEL ORDOÑEZ ZENTENO	1	14195
509	010556	CELIA GUILLEN NIETO	1	9191
510	010556	JUAN JOSE LOPEZ AVILA	1	9116
511	010556	LUIS VEGA GARRIDO	1	13246
512	010556	PABLO HILARIO CHICA	1	9114
513	010559	ALBERTO MARIA ANDRADE	1	9161
514	010559	PIO BRAVO	1	9163
515	010559	RAFAEL CHICO PEÑAHERRERA	1	9165
516	010561	12 DE FEBRERO	1	9181
517	010561	ANTONIO MORALES	1	14208
518	010561	BALTAZAR RIVERA Y NATES	1	9185
519	010561	JUAN PABLO II	1	14209
520	010562	HUMBERTO OCHOA	1	14210
521	010562	JOSE DE LA VEGA	1	9198
522	010601	11 DE SEPTIEMBRE	1	9348
523	010601	21 DE JUNIO	1	9297
524	010601	25 DE DICIEMBRE	1	9351
525	010601	25 DE JULIO	1	9314
526	010601	28 DE JUNIO	1	15501
527	010601	8 DE DICIEMBRE	1	9311
528	010601	ALBERTO DURAN CHICA	1	9331
529	010601	ALCIBIADES AMOROSO BERNAL	1	9318
530	010601	ALFONSO MEJIA ASTUDILLO	1	15498
531	010601	ALFREDO PEREZ GUERRERO	1	9294
532	010601	CABO MINACHO	1	9323
533	010601	CORNELIO VELEZ	1	9313
534	010601	DANIEL BRITO DURAN	1	9306
535	010601	ECUADOR	1	9302
536	010601	ESTHER RODAS DE DURAN	1	9357
537	010601	JAIME ALVEAR MERCHAN	1	9316
538	010601	JUAN DE VELASCO	1	9283
539	010601	LEONARDO VIDAL BARZALLO	1	9321
540	010601	POLIBIO REYES MERCHAN	1	9320
541	010601	PUCARA	1	13287
542	010601	SAN ALFONSO	1	9326
543	010601	SAN MIGUEL DE LAS PALMERAS	1	9272
544	010601	VICENTE ROCAFUERTE	1	9338
545	010651	16 DE ENERO	1	9275
546	010651	5 DE JUNIO	1	9336
547	010651	CAMILO PONCE ENRIQUEZ	1	13265
548	010651	CENTINELA DEL AZUAY	1	9291
549	010651	CLEMENTE YEROVI	1	15496
550	010651	JUAN ANDRADE	1	9334
551	010651	MIGUEL HEREDIA CRESPO	1	9265
552	010651	SHUMIRAL	1	13085
